File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd.o,16.059565%,13826,94,7738,6080,8,86
c_w.l,9.623426%,8285,96,7734,551,0,96
ff.o,6.904242%,5944,6,5928,10,6,0
fz_ws.l,5.531292%,4762,0,4762,0,0,0
tasks.o,4.639223%,3994,484,3930,0,64,420
m_ws.l,3.498583%,3012,0,2868,144,0,0
pow.o,3.085072%,2656,0,2520,136,0,0
queue.o,2.908516%,2504,64,2504,0,0,64
stm32f1xx_hal_sd.o,2.896901%,2494,0,2494,0,0,0
stm32f1xx_ll_sdmmc.o,2.320773%,1998,0,1998,0,0,0
btod.o,2.248757%,1936,0,1936,0,0,0
stm32f1xx_hal_rcc.o,2.072202%,1784,0,1784,0,0,0
stm32f1xx_hal_dma.o,1.956047%,1684,0,1684,0,0,0
stm32f1xx_hal_adc.o,1.932816%,1664,0,1664,0,0,0
stm32f1xx_hal_uart.o,1.726061%,1486,0,1486,0,0,0
timers.o,1.700506%,1464,60,1444,0,20,40
rtc.o,1.519305%,1308,32,1306,0,2,30
port.o,1.386889%,1194,12,1182,0,12,0
_printf_fp_dec.o,1.224272%,1054,0,1054,0,0,0
stm32f1xx_hal_gpio.o,1.022162%,880,0,880,0,0,0
heap_4.o,1.022162%,880,20512,848,0,32,20480
daddsub_clz.o,0.959439%,826,0,826,0,0,0
stm32f1xx_hal_tim.o,0.950146%,818,0,818,0,0,0
_printf_fp_hex.o,0.931562%,802,0,764,38,0,0
freertos_app.o,0.922269%,794,48,746,0,48,0
sdio_sdcard.o,0.921108%,793,164,632,161,0,164
ddiv.o,0.799145%,688,0,688,0,0,0
run_log_app.o,0.771268%,664,8,656,0,8,0
usart.o,0.729452%,628,1294,620,0,8,1286
stm32f1xx_hal_rcc_ex.o,0.710867%,612,0,612,0,0,0
dsqrt_noumaal.o,0.534312%,460,0,460,0,0,0
lsens.o,0.506435%,436,48,436,0,0,48
faddsub_clz.o,0.499466%,430,0,430,0,0,0
diskio.o,0.485527%,418,0,418,0,0,0
__printf_flags_ss_wp.o,0.475073%,409,0,392,17,0,0
fdiv.o,0.450681%,388,0,388,0,0,0
stm32f1xx_hal_rtc.o,0.450681%,388,0,388,0,0,0
bigflt0.o,0.436742%,376,0,228,148,0,0
malloc.o,0.432096%,372,26132,340,12,20,26112
startup_stm32f103xe.o,0.427450%,368,1536,64,304,0,1536
gui_app.o,0.408865%,352,0,352,0,0,0
key.o,0.400734%,345,1,344,0,1,0
stm32f1xx_hal_cortex.o,0.399573%,344,0,344,0,0,0
dmul.o,0.394926%,340,0,340,0,0,0
lc_ctype_c.o,0.367049%,316,0,44,272,0,0
radar_app_1.o,0.346141%,298,10,288,0,10,0
stm32f1xx_hal_adc_ex.o,0.302003%,260,0,260,0,0,0
fmul.o,0.299679%,258,0,258,0,0,0
stm32f1xx_ll_fsmc.o,0.295033%,254,0,254,0,0,0
led.o,0.278772%,240,0,240,0,0,0
lludivv7m.o,0.276448%,238,0,238,0,0,0
btim.o,0.261348%,225,73,224,0,1,72
stm32f1xx_hal.o,0.235794%,203,9,194,0,9,0
delay.o,0.229987%,198,2,196,0,2,0
_printf_wctomb.o,0.227663%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.218371%,188,0,148,40,0,0
dma.o,0.218371%,188,136,188,0,0,136
lsens_app.o,0.209079%,180,16,180,0,0,16
_printf_intcommon.o,0.206756%,178,0,178,0,0,0
poly.o,0.197463%,170,0,170,0,0,0
radar.o,0.190494%,164,0,164,0,0,0
dnaninf.o,0.181202%,156,0,156,0,0,0
led_app.o,0.173071%,149,1,148,0,1,0
list.o,0.171909%,148,0,148,0,0,0
fnaninf.o,0.162617%,140,0,140,0,0,0
waring_sound_app.o,0.161455%,139,1,138,0,1,0
rt_memcpy_v6.o,0.160294%,138,0,138,0,0,0
lludiv10.o,0.160294%,138,0,138,0,0,0
strcmpv7m.o,0.148678%,128,0,128,0,0,0
_printf_fp_infnan.o,0.148678%,128,0,128,0,0,0
beep.o,0.148678%,128,0,128,0,0,0
_printf_longlong_dec.o,0.144032%,124,0,124,0,0,0
dleqf.o,0.139386%,120,0,120,0,0,0
_printf_dec.o,0.139386%,120,0,120,0,0,0
_printf_oct_int_ll.o,0.130093%,112,0,112,0,0,0
date_read_app.o,0.126609%,109,11,108,0,1,10
drleqf.o,0.125447%,108,0,108,0,0,0
fleqf.o,0.120801%,104,0,104,0,0,0
feqf.o,0.120801%,104,0,104,0,0,0
stm32f1xx_hal_sram.o,0.118478%,102,0,102,0,0,0
retnan.o,0.116155%,100,0,100,0,0,0
rt_memcpy_w.o,0.116155%,100,0,100,0,0,0
d2f.o,0.113832%,98,0,98,0,0,0
scalbn.o,0.106862%,92,0,92,0,0,0
main.o,0.106862%,92,0,92,0,0,0
memcmp.o,0.102216%,88,0,88,0,0,0
debug_app.o,0.102216%,88,12,76,0,12,0
f2d.o,0.099893%,86,0,86,0,0,0
sys.o,0.099893%,86,0,86,0,0,0
dflt_clz.o,0.097570%,84,0,84,0,0,0
_printf_str.o,0.095247%,82,0,82,0,0,0
rt_memclr_w.o,0.090601%,78,0,78,0,0,0
_printf_pad.o,0.090601%,78,0,78,0,0,0
sqrt.o,0.088278%,76,0,76,0,0,0
sys_stackheap_outer.o,0.085955%,74,0,74,0,0,0
llsdiv.o,0.083631%,72,0,72,0,0,0
lc_numeric_c.o,0.083631%,72,0,44,28,0,0
rt_memclr.o,0.078985%,68,0,68,0,0,0
pc_cmd_app.o,0.078985%,68,0,68,0,0,0
exfuns.o,0.078985%,68,4,64,0,4,0
_wcrtomb.o,0.074339%,64,0,64,0,0,0
dunder.o,0.072016%,62,0,62,0,0,0
strlen.o,0.072016%,62,0,62,0,0,0
vsnprintf.o,0.060401%,52,0,52,0,0,0
__scatter.o,0.060401%,52,0,52,0,0,0
trapv.o,0.055754%,48,0,48,0,0,0
_printf_char_common.o,0.055754%,48,0,48,0,0,0
stm32f1xx_hal_rtc_ex.o,0.055754%,48,0,48,0,0,0
_printf_wchar.o,0.051108%,44,0,44,0,0,0
_printf_char.o,0.051108%,44,0,44,0,0,0
__2sprintf.o,0.051108%,44,0,44,0,0,0
fpclassify.o,0.046462%,40,0,40,0,0,0
_printf_charcount.o,0.046462%,40,0,40,0,0,0
fflt_clz.o,0.044139%,38,0,38,0,0,0
key_app.o,0.042977%,37,1,36,0,1,0
_printf_truncate.o,0.041816%,36,0,36,0,0,0
_printf_char_file.o,0.041816%,36,0,36,0,0,0
libinit2.o,0.034846%,30,0,30,0,0,0
system_stm32f1xx.o,0.034846%,30,4,2,24,4,0
__scatter_zi.o,0.032523%,28,0,28,0,0,0
__scatter_copy.o,0.030200%,26,0,26,0,0,0
fcmpi.o,0.027877%,24,0,24,0,0,0
dcmpi.o,0.027877%,24,0,24,0,0,0
__2printf.o,0.027877%,24,0,24,0,0,0
_rserrno.o,0.025554%,22,0,22,0,0,0
strchr.o,0.023231%,20,0,20,0,0,0
stm32f1xx_it.o,0.023231%,20,0,20,0,0,0
exit.o,0.020908%,18,0,18,0,0,0
dcheck1.o,0.018585%,16,0,16,0,0,0
rt_ctype_table.o,0.018585%,16,0,16,0,0,0
aeabi_memset.o,0.018585%,16,0,16,0,0,0
_snputc.o,0.018585%,16,0,16,0,0,0
__printf_wp.o,0.016262%,14,0,14,0,0,0
dretinf.o,0.013939%,12,0,12,0,0,0
__rtentry2.o,0.013939%,12,0,12,0,0,0
stm32f1xx_hal_pwr.o,0.013939%,12,0,12,0,0,0
fretinf.o,0.011615%,10,0,10,0,0,0
rtexit2.o,0.011615%,10,0,10,0,0,0
_sputc.o,0.011615%,10,0,10,0,0,0
_printf_ll.o,0.011615%,10,0,10,0,0,0
_printf_l.o,0.011615%,10,0,10,0,0,0
qnan.o,0.009292%,8,0,0,8,0,0
rt_locale_intlibspace.o,0.009292%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.009292%,8,0,8,0,0,0
libspace.o,0.009292%,8,96,8,0,0,96
ferror.o,0.009292%,8,0,8,0,0,0
__main.o,0.009292%,8,0,8,0,0,0
heapauxi.o,0.006969%,6,0,6,0,0,0
_printf_x.o,0.006969%,6,0,6,0,0,0
_printf_u.o,0.006969%,6,0,6,0,0,0
_printf_s.o,0.006969%,6,0,6,0,0,0
_printf_p.o,0.006969%,6,0,6,0,0,0
_printf_o.o,0.006969%,6,0,6,0,0,0
_printf_n.o,0.006969%,6,0,6,0,0,0
_printf_ls.o,0.006969%,6,0,6,0,0,0
_printf_llx.o,0.006969%,6,0,6,0,0,0
_printf_llu.o,0.006969%,6,0,6,0,0,0
_printf_llo.o,0.006969%,6,0,6,0,0,0
_printf_lli.o,0.006969%,6,0,6,0,0,0
_printf_lld.o,0.006969%,6,0,6,0,0,0
_printf_lc.o,0.006969%,6,0,6,0,0,0
_printf_i.o,0.006969%,6,0,6,0,0,0
_printf_g.o,0.006969%,6,0,6,0,0,0
_printf_f.o,0.006969%,6,0,6,0,0,0
_printf_e.o,0.006969%,6,0,6,0,0,0
_printf_d.o,0.006969%,6,0,6,0,0,0
_printf_c.o,0.006969%,6,0,6,0,0,0
_printf_a.o,0.006969%,6,0,6,0,0,0
__rtentry4.o,0.006969%,6,0,6,0,0,0
printf2.o,0.004646%,4,0,4,0,0,0
printf1.o,0.004646%,4,0,4,0,0,0
_printf_percent_end.o,0.004646%,4,0,4,0,0,0
stm32f1xx_hal_tim_ex.o,0.004646%,4,0,4,0,0,0
use_no_semi_2.o,0.002323%,2,0,2,0,0,0
use_no_semi.o,0.002323%,2,0,2,0,0,0
rtexit.o,0.002323%,2,0,2,0,0,0
libshutdown2.o,0.002323%,2,0,2,0,0,0
libshutdown.o,0.002323%,2,0,2,0,0,0
libinit.o,0.002323%,2,0,2,0,0,0
